Question,Propositions,Correction,Explication
Quels sont les deux éléments principaux évoqués dans l'accompagnement des apprenants pour réussir leur projet professionnel?,"""Compétences professionnelles"", ""Leviers"", ""Freins"", ""Entretiens personnalisés""",2,Les deux éléments évoqués sont les leviers et les freins dans l'accompagnement des apprenants pour réussir leur projet professionnel.
Quels sont des exemples de leviers favorisant la réussite professionnelle?,"""Validation des acquis"", ""Barrières culturelles"", ""Auto évaluation"", ""Discriminations""",1,La validation des acquis est un exemple de levier favorisant la réussite professionnelle.
Qu'est-ce qui est mentionné comme moyen d'action pour la sensibilisation?,"""Enquêtes-métiers"", ""Entretiens personnalisés"", ""Formation annexe"", ""Création de production pour le portfolio""",2,Les entretiens personnalisés sont mentionnés comme un moyen d'action pour la sensibilisation.
Quel terme est utilisé pour décrire la résistance à la nouveauté ou à l'échec?,"""Peur de l'inconnu"", ""Résistance au changement"", ""Auto-évaluation"", ""Marché du travail""",1,La peur de l'inconnu est utilisée pour décrire la résistance à la nouveauté ou à l'échec.
Que doit illustrer le jeu de rôle dans la présentation?,"""Compétences professionnelles"", ""Bonnes pratiques et/ou mauvaises pratiques"", ""Entretiens personnalisés"", ""Création de production pour le portfolio""",2,Le jeu de rôle doit illustrer les bonnes et/ou mauvaises pratiques dans un entretien formateur-apprenant.
Quel conseil est donné pour surmonter le manque d'expérience professionnelle?,"""Participation à des ateliers de développement personnel"", ""Stages et apprentissages en entreprise"", ""Chercher des opportunités de certification"", ""Utiliser les médias sociaux pour élargir le réseau""",2,Stages et apprentissages en entreprise sont des conseils pour surmonter le manque d'expérience professionnelle.
Quel conseil est donné pour enclencher le levier du réseautage professionnel?,"""Participer activement à des événements de réseautage"", ""Chercher des opportunités de certification"", ""Effectuer une veille constante sur les tendances du marché"", ""Entourer-vous de personnes positives et inspirantes""",1,Participer activement à des événements de réseautage est un conseil pour enclencher le levier.
Quelle est la synthèse des points clés selon la présentation?,"""Suivi adapté et réponse inscrite dans un processus d'analyse"", ""Processus d'analyse unique"", ""Absence de synthèse"", ""Suivi identique pour tous les apprenants""",1,La synthèse des points clés est décrite comme un suivi adapté et une réponse inscrite dans un processus d'analyse.
Qu'est-ce que les participants doivent faire à la fin de la présentation?,"""Créer une production pour le portfolio"", ""Évaluer la présentation"", ""Revoir le document complémentaire"", ""Participer à un jeu de rôle""",2,Les participants doivent évaluer la présentation et revoir le document complémentaire.
Quel terme est utilisé pour décrire la perte d'identité professionnelle?,"""Déclassement"", ""Immersion professionnelle"", ""Diagnostic territorial"", ""Auto-évaluation""",1,La perte d'identité professionnelle est décrite comme un déclassement.
